Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
10700,0.994724, 0.011901, 0.016275, 0.838283,0.917692, 0.139640, 0.002000, 0.794698,0.986820,0.019043,0.021509,0.834110
10800,0.998000, 0.029326, 0.002000, 0.756595,0.914784, 0.060217, 0.091796, 0.839397,0.985454,0.021014,0.023324,0.828267
10900,0.995535, 0.012640, 0.015622, 0.834133,0.856256, 0.005504, 0.090410, 0.888279,0.989671,0.018247,0.023023,0.836673
11000,0.996129, 0.015371, 0.010435, 0.842630,0.910362, 0.002000, 0.151848, 0.820537,0.990860,0.019134,0.017603,0.819573
11100,0.995944, 0.018779, 0.013664, 0.812659,0.916260, 0.115173, 0.101170, 0.855223,0.989510,0.026751,0.019343,0.816771
11200,0.995486, 0.023050, 0.030117, 0.864143,0.968133, 0.189657, 0.081148, 0.846271,0.990747,0.022328,0.018903,0.818450
11300,0.995993, 0.014302, 0.011254, 0.816844,0.915284, 0.075854, 0.002000, 0.900327,0.993207,0.018527,0.015762,0.812485
11400,0.996673, 0.013880, 0.014802, 0.810131,0.923474, 0.059486, 0.002000, 0.780854,0.993104,0.019998,0.020871,0.813827
11500,0.997220, 0.010458, 0.012897, 0.837109,0.998000, 0.075255, 0.041330, 0.767589,0.992300,0.017124,0.016121,0.835650
11600,0.997090, 0.009730, 0.014273, 0.832929,0.914848, 0.010690, 0.067792, 0.803673,0.990092,0.014241,0.023034,0.848490
11700,0.998000, 0.002000, 0.093165, 0.918697,0.921764, 0.045610, 0.054865, 0.771757,0.993024,0.016184,0.026869,0.839564
11800,0.996919, 0.011901, 0.014263, 0.822910,0.909549, 0.034744, 0.103930, 0.868300,0.992816,0.015723,0.019616,0.828035
11900,0.995417, 0.008333, 0.012170, 0.808173,0.903283, 0.028793, 0.002000, 0.963319,0.988384,0.013691,0.013674,0.819859
12000,0.996061, 0.010031, 0.013974, 0.824260,0.897338, 0.060992, 0.106572, 0.900765,0.992496,0.020444,0.022593,0.827212
12100,0.996151, 0.010298, 0.027657, 0.851803,0.964354, 0.002000, 0.025378, 0.899815,0.992020,0.015834,0.022035,0.838595
12200,0.996563, 0.010061, 0.016807, 0.837747,0.898920, 0.002000, 0.051777, 0.867431,0.992527,0.015223,0.025005,0.835405
12300,0.996984, 0.007607, 0.014952, 0.805718,0.982896, 0.062820, 0.045933, 0.747798,0.992296,0.016174,0.022555,0.831233
12400,0.997528, 0.019953, 0.007205, 0.883698,0.907200, 0.027894, 0.116723, 0.803622,0.991198,0.016126,0.021510,0.831751
12500,0.997043, 0.012954, 0.013673, 0.842217,0.973176, 0.002000, 0.143811, 0.840747,0.994111,0.017700,0.021738,0.838890
12600,0.996997, 0.012657, 0.013273, 0.844682,0.924876, 0.002000, 0.106770, 0.681672,0.989268,0.016130,0.022392,0.847242
12700,0.996395, 0.012295, 0.012707, 0.828313,0.922559, 0.044181, 0.069389, 0.862746,0.994633,0.015569,0.018364,0.833376
12800,0.995755, 0.008748, 0.012467, 0.863260,0.913382, 0.101165, 0.078980, 0.993314,0.990052,0.017326,0.017985,0.843643
12900,0.998000, 0.002000, 0.002000, 0.833578,0.904900, 0.002000, 0.059977, 0.914267,0.988086,0.014905,0.020761,0.848371
13000,0.996414, 0.013340, 0.012548, 0.860033,0.912970, 0.002000, 0.080631, 0.734908,0.987757,0.015120,0.016457,0.859562
13100,0.995263, 0.011420, 0.011829, 0.857686,0.923452, 0.111978, 0.023763, 0.726102,0.989764,0.012290,0.017397,0.859975
13200,0.980105, 0.007368, 0.011903, 0.869597,0.923853, 0.002000, 0.151025, 0.892620,0.986173,0.014066,0.024111,0.857079
13300,0.993122, 0.009617, 0.017087, 0.861424,0.923320, 0.078347, 0.081020, 0.780650,0.985768,0.020668,0.024331,0.859934
13400,0.994828, 0.007124, 0.017089, 0.837740,0.891633, 0.099500, 0.108624, 0.845480,0.984349,0.014496,0.020918,0.831828
13500,0.998000, 0.002000, 0.002000, 0.824334,0.946772, 0.002000, 0.118983, 0.992547,0.992939,0.013871,0.025493,0.840008
13600,0.995889, 0.009873, 0.014248, 0.847796,0.941161, 0.002000, 0.109454, 0.780344,0.989880,0.019431,0.016020,0.836800
13700,0.996378, 0.011979, 0.019706, 0.852301,0.918537, 0.002000, 0.007116, 0.777136,0.989868,0.020214,0.019172,0.840922
13800,0.998000, 0.052163, 0.002000, 0.839793,0.998000, 0.090130, 0.115370, 0.777451,0.988697,0.014835,0.020467,0.838493
13900,0.998000, 0.002000, 0.002000, 0.936920,0.965533, 0.050352, 0.200254, 0.879417,0.990675,0.013471,0.025860,0.830853
14000,0.997092, 0.011073, 0.018266, 0.843636,0.928822, 0.090560, 0.002000, 0.884248,0.990005,0.014407,0.019899,0.848119
14100,0.997513, 0.013081, 0.015665, 0.844938,0.879800, 0.030495, 0.002000, 0.750125,0.989971,0.019219,0.019909,0.842295
14200,0.997585, 0.016729, 0.015093, 0.854192,0.935890, 0.132819, 0.041926, 0.895931,0.992905,0.019919,0.017779,0.846336
14300,0.995205, 0.015525, 0.013250, 0.857115,0.863929, 0.009991, 0.092355, 0.857258,0.989715,0.016033,0.019595,0.850895
14400,0.996729, 0.009238, 0.009534, 0.746066,0.898717, 0.096061, 0.002000, 0.834435,0.987446,0.020080,0.018281,0.813808
14500,0.997012, 0.010243, 0.010880, 0.819673,0.913745, 0.021049, 0.084363, 0.884543,0.993096,0.017395,0.019517,0.820951
14600,0.997081, 0.015830, 0.010055, 0.824600,0.907643, 0.085146, 0.072286, 0.871083,0.993240,0.019673,0.019168,0.834956
