Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P, Total Score
315501,0.034643, 0.040874, 0.064249, 0.002000,0.095979,0.054706,0.081846,0.017297,0.106184,0.063037,0.082465,0.010163,0.084283,0.056455,0.134866,0.003416,28508364
316001,0.087982, 0.002000, 0.002000, 0.002000,0.058174,0.062151,0.076954,0.024382,0.057851,0.064833,0.085609,0.013516,0.030661,0.063406,0.057207,0.002000,28497837
316501,0.002000, 0.136015, 0.154132, 0.002000,0.056106,0.075675,0.044572,0.018574,0.067272,0.101134,0.039313,0.009661,0.053955,0.182986,0.052711,0.002000,28352554
317001,0.217731, 0.002000, 0.159799, 0.002000,0.093981,0.075474,0.077189,0.013623,0.153840,0.091535,0.078111,0.007045,0.224538,0.057399,0.098231,0.002000,28479608
317501,0.100785, 0.049794, 0.120528, 0.002000,0.063534,0.065858,0.080856,0.014809,0.068857,0.076570,0.078663,0.008161,0.130346,0.104728,0.041509,0.002000,28476208
318001,0.002000, 0.099270, 0.037315, 0.002000,0.081344,0.068445,0.045809,0.025181,0.103028,0.061089,0.046537,0.011329,0.146480,0.034423,0.044292,0.002000,28365798
318501,0.141380, 0.231683, 0.206900, 0.002000,0.109456,0.079109,0.083081,0.032781,0.157023,0.088757,0.088376,0.018870,0.125538,0.114949,0.121905,0.061422,28469380
319001,0.159574, 0.110423, 0.045589, 0.012990,0.079000,0.079198,0.074957,0.024754,0.119450,0.107958,0.080044,0.013274,0.136607,0.168072,0.104753,0.005663,28420861
319501,0.104406, 0.217696, 0.219613, 0.002000,0.094183,0.065545,0.074296,0.017235,0.134150,0.086451,0.070505,0.008601,0.136390,0.076608,0.084767,0.002000,28450494
320001,0.096123, 0.264062, 0.115353, 0.002000,0.078230,0.086556,0.064751,0.033776,0.134170,0.119674,0.059557,0.022317,0.156302,0.182073,0.082090,0.002000,28384764
320501,0.065946, 0.032785, 0.002000, 0.058928,0.070221,0.052614,0.064656,0.023409,0.105473,0.058795,0.064760,0.012156,0.052325,0.066133,0.100759,0.020976,28382857
321001,0.002000, 0.006606, 0.080498, 0.002000,0.049285,0.050436,0.056048,0.028163,0.044627,0.048309,0.051431,0.014974,0.050836,0.033325,0.058676,0.004998,28419713
321501,0.002000, 0.002000, 0.169591, 0.017840,0.097134,0.082371,0.075686,0.021200,0.100871,0.069351,0.068237,0.012089,0.079972,0.068772,0.156007,0.023066,28466639
322001,0.157357, 0.018431, 0.116590, 0.002000,0.075820,0.055522,0.086019,0.021426,0.098064,0.062133,0.106287,0.010071,0.103687,0.064310,0.199895,0.002000,28468924
322501,0.002000, 0.064489, 0.091628, 0.002000,0.066920,0.035913,0.077542,0.017528,0.103087,0.029039,0.077728,0.010590,0.081813,0.050503,0.050968,0.004993,28442393
323001,0.272197, 0.002000, 0.076662, 0.002000,0.063989,0.053521,0.076565,0.022112,0.052852,0.064187,0.084098,0.012242,0.141451,0.050388,0.037148,0.022002,28483426
323501,0.043773, 0.065623, 0.002000, 0.045185,0.083391,0.059931,0.050933,0.018608,0.106687,0.067867,0.053193,0.011950,0.099940,0.104360,0.018465,0.016395,28460298
324001,0.131903, 0.187333, 0.126383, 0.002000,0.083556,0.057334,0.061009,0.019152,0.099169,0.046680,0.065889,0.010178,0.125108,0.133931,0.099754,0.027060,28378368
324501,0.210293, 0.023690, 0.081337, 0.002000,0.105910,0.084819,0.085415,0.018196,0.138188,0.093359,0.085780,0.008861,0.094905,0.051605,0.090855,0.002000,28485475
325001,0.050154, 0.065209, 0.002000, 0.003267,0.068132,0.050751,0.105491,0.019865,0.074017,0.063733,0.084808,0.010528,0.119165,0.061562,0.041535,0.010266,28377968
325501,0.031941, 0.061133, 0.013670, 0.068433,0.073520,0.062101,0.074454,0.019220,0.085785,0.060729,0.096914,0.011171,0.115004,0.042184,0.084548,0.024144,28456035
326001,0.184841, 0.093396, 0.047954, 0.002000,0.069545,0.058631,0.056964,0.025896,0.048866,0.068264,0.063223,0.015023,0.154112,0.102290,0.065471,0.002000,28399197
326501,0.027565, 0.067346, 0.070254, 0.002000,0.072879,0.064288,0.101431,0.009137,0.097787,0.084775,0.115881,0.005037,0.099491,0.092271,0.102347,0.013262,28398204
327001,0.002000, 0.215775, 0.002000, 0.002000,0.077981,0.073371,0.058345,0.013654,0.107110,0.105255,0.063148,0.009175,0.084140,0.182369,0.002520,0.007103,28488928
327501,0.032479, 0.002000, 0.067592, 0.002000,0.060892,0.077189,0.054349,0.020186,0.055366,0.066232,0.046603,0.010943,0.025964,0.064499,0.032584,0.005264,28379606
328001,0.002000, 0.096376, 0.050772, 0.037461,0.068928,0.073424,0.070123,0.023295,0.107025,0.082415,0.067377,0.014526,0.050585,0.098489,0.040425,0.028910,28469315
328501,0.158236, 0.002000, 0.121544, 0.002000,0.065582,0.065662,0.046958,0.028949,0.073161,0.059637,0.042323,0.016555,0.054401,0.032623,0.117926,0.002000,28407771
329001,0.006928, 0.050732, 0.103363, 0.002000,0.060275,0.058963,0.079744,0.024219,0.046067,0.066718,0.096416,0.012606,0.024100,0.079322,0.138507,0.006576,28408370
329501,0.052529, 0.050308, 0.002000, 0.008335,0.080578,0.065811,0.082183,0.016429,0.144914,0.078084,0.097714,0.007381,0.031961,0.088435,0.048760,0.004112,28539070
