Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
10700,0.065597, 0.567297, 0.003197, 0.002478,0.727953, 0.976967, 0.774979, 0.396505,0.389619,0.261236,0.189439,0.156681
10800,0.389175, 0.132143, 0.012889, 0.012969,0.805899, 0.991189, 0.985659, 0.779767,0.391417,0.275897,0.178081,0.159064
10900,0.125869, 0.090795, 0.005341, 0.003165,0.910958, 0.916044, 0.861981, 0.587734,0.382065,0.239624,0.169766,0.147340
11000,0.149738, 0.069274, 0.031994, 0.015290,0.941601, 0.922265, 0.377219, 0.627517,0.378907,0.286675,0.169561,0.145791
11100,0.098899, 0.066365, 0.022364, 0.023684,0.674767, 0.880185, 0.994270, 0.893163,0.404409,0.255828,0.185227,0.149609
11200,0.849213, 0.010920, 0.006688, 0.006408,0.311403, 0.890307, 0.234106, 0.928005,0.391229,0.241369,0.155313,0.135446
11300,0.014588, 0.132443, 0.008239, 0.004025,0.297742, 0.963895, 0.874125, 0.393111,0.380656,0.262010,0.157166,0.170184
11400,0.009959, 0.394340, 0.005687, 0.004682,0.901731, 0.964286, 0.597466, 0.550506,0.424183,0.272715,0.182574,0.143061
11500,0.125869, 0.090795, 0.005341, 0.003165,0.539547, 0.984131, 0.384600, 0.509564,0.425437,0.267733,0.142003,0.154858
11600,0.065597, 0.567297, 0.003197, 0.002478,0.302193, 0.957012, 0.265549, 0.990944,0.382289,0.238829,0.162702,0.160145
11700,0.065597, 0.567297, 0.003197, 0.002478,0.582105, 0.997021, 0.261093, 0.895858,0.406380,0.273256,0.187058,0.181015
11800,0.463953, 0.061513, 0.025289, 0.009101,0.922677, 0.958102, 0.756597, 0.681595,0.410888,0.275840,0.189595,0.179926
11900,0.065597, 0.567297, 0.003197, 0.002478,0.545435, 0.905726, 0.861604, 0.795932,0.439275,0.277364,0.171775,0.173234
12000,0.014588, 0.132443, 0.008239, 0.004025,0.548061, 0.987460, 0.387268, 0.858505,0.368434,0.273075,0.122147,0.170582
12100,0.390679, 0.131497, 0.002886, 0.007380,0.737764, 0.999816, 0.817449, 0.419677,0.401417,0.266924,0.172607,0.154374
12200,0.487157, 0.151462, 0.012182, 0.002854,0.872887, 0.996647, 0.956224, 0.959010,0.422889,0.266248,0.176398,0.157244
12300,0.125869, 0.090795, 0.005341, 0.003165,0.868525, 0.984391, 0.422607, 0.744024,0.417111,0.240588,0.166756,0.151277
12400,0.125869, 0.090795, 0.005341, 0.003165,0.987998, 0.540040, 0.530485, 0.965629,0.404755,0.274906,0.185376,0.155106
12500,0.049224, 0.008293, 0.024446, 0.016712,0.913713, 0.950871, 0.949454, 0.506524,0.411855,0.228365,0.192013,0.195281
12600,0.849213, 0.010920, 0.006688, 0.006408,0.540234, 0.988263, 0.730831, 0.763274,0.397058,0.278862,0.195064,0.150157
12700,0.125869, 0.090795, 0.005341, 0.003165,0.794949, 0.713974, 0.453005, 0.966675,0.379686,0.246323,0.169490,0.138996
12800,0.014588, 0.132443, 0.008239, 0.004025,0.230841, 0.965381, 0.496173, 0.673247,0.393616,0.254330,0.159477,0.165140
