Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P,Total Score
544001,0.085845, 0.183010, 0.091553, 0.002000,0.068766,0.076383,0.054672,0.024896,0.072171,0.100943,0.061090,0.013830,0.122342,0.139470,0.031851,0.002000,28520749
544501,0.016372, 0.002000, 0.076741, 0.002000,0.052661,0.062509,0.054558,0.019671,0.044560,0.062569,0.056751,0.009360,0.038858,0.035407,0.107710,0.002487,28400869
545001,0.040815, 0.016651, 0.002000, 0.002000,0.120609,0.070640,0.070255,0.022938,0.098745,0.074394,0.076968,0.011409,0.034221,0.010091,0.060446,0.005581,28474250
545501,0.002000, 0.055886, 0.031334, 0.002000,0.053214,0.076713,0.066773,0.018647,0.066439,0.079321,0.095421,0.008337,0.049068,0.127735,0.083140,0.002150,28427554
546001,0.112575, 0.002000, 0.056402, 0.012882,0.076766,0.077445,0.053903,0.027106,0.108726,0.079324,0.073518,0.016975,0.125492,0.009656,0.117489,0.007561,28495687
546501,0.049667, 0.002000, 0.002000, 0.002000,0.064805,0.052648,0.096957,0.011901,0.101248,0.064694,0.093332,0.005161,0.106053,0.048196,0.063678,0.002000,28461574
547001,0.002000, 0.051946, 0.082185, 0.012823,0.050674,0.041163,0.071030,0.030177,0.071665,0.041924,0.097962,0.018723,0.031475,0.041956,0.058860,0.060120,28385401
547501,0.410304, 0.002000, 0.185085, 0.002000,0.106962,0.074311,0.083368,0.018425,0.096209,0.063526,0.088540,0.012236,0.167195,0.038245,0.064625,0.002000,28437624
548001,0.104456, 0.039136, 0.015675, 0.002000,0.098155,0.051596,0.075005,0.022849,0.112080,0.050073,0.106161,0.012647,0.099141,0.110899,0.077407,0.004069,28393302
548501,0.002000, 0.002000, 0.002000, 0.002000,0.061046,0.044502,0.060002,0.016114,0.095667,0.042971,0.071080,0.006832,0.110026,0.019061,0.029789,0.002000,28484143
