Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
4050,0.990517, 0.129996, 0.026956, 0.007761,0.261121, 0.988703, 0.211752, 0.736661,0.903182,0.220683,0.139396,0.104244
4100,0.986174, 0.144205, 0.011639, 0.013667,0.181162, 0.963530, 0.562975, 0.892501,0.905475,0.200746,0.128572,0.100447
4150,0.992555, 0.045373, 0.007318, 0.013759,0.009011, 0.980446, 0.945619, 0.965299,0.889135,0.215188,0.136477,0.100735
4200,0.992903, 0.008997, 0.008873, 0.012965,0.577464, 0.982837, 0.987408, 0.831295,0.865915,0.175654,0.160167,0.112476
4250,0.993015, 0.013470, 0.019200, 0.010474,0.050031, 0.979325, 0.534129, 0.981401,0.899811,0.193021,0.113712,0.141696
4300,0.991646, 0.007939, 0.034881, 0.009253,0.290079, 0.992013, 0.220336, 0.840640,0.867538,0.197464,0.108430,0.100085
4350,0.992064, 0.066024, 0.014532, 0.022000,0.147299, 0.982574, 0.989568, 0.899491,0.905496,0.199607,0.144890,0.080092
4400,0.988399, 0.014116, 0.008907, 0.007024,0.099536, 0.957322, 0.007307, 0.975578,0.885688,0.205665,0.082497,0.133810
4450,0.991295, 0.006899, 0.009427, 0.017191,0.057746, 0.984958, 0.415977, 0.434977,0.878746,0.190547,0.139756,0.114222
4500,0.981088, 0.089258, 0.008600, 0.026173,0.020767, 0.989803, 0.673372, 0.763092,0.889124,0.177679,0.083449,0.088051
4550,0.989720, 0.044731, 0.035711, 0.015034,0.039333, 0.968301, 0.301528, 0.988626,0.892439,0.170293,0.115600,0.110214
4600,0.992166, 0.017954, 0.028670, 0.009145,0.074626, 0.975957, 0.988457, 0.024596,0.896058,0.203272,0.096156,0.115494
4650,0.991925, 0.045055, 0.007816, 0.021170,0.103688, 0.977427, 0.971447, 0.993148,0.892613,0.186230,0.129552,0.138641
4700,0.992129, 0.055087, 0.011423, 0.008667,0.031018, 0.962919, 0.169517, 0.635302,0.875932,0.178921,0.088951,0.107462
4750,1.223752, 0.194161, 0.002000, 0.069527,0.256323, 0.986826, 0.959338, 0.259912,0.881589,0.189812,0.125586,0.113926
4800,0.985886, 0.006857, 0.010941, 0.008330,0.095836, 0.978868, 0.942227, 0.991346,0.909133,0.206719,0.132090,0.126345
4850,0.989703, 0.058133, 0.012819, 0.011778,0.050467, 0.965896, 0.103152, 0.977353,0.914399,0.153679,0.097940,0.127687
4900,0.992129, 0.055087, 0.011423, 0.008667,0.728906, 0.977401, 0.546713, 0.835812,0.899985,0.187052,0.107702,0.122039
4950,0.988399, 0.014116, 0.008907, 0.007024,0.608867, 0.990505, 0.979242, 0.810111,0.883162,0.215494,0.111258,0.120531
5000,0.991646, 0.007939, 0.034881, 0.009253,0.347157, 0.990780, 0.836124, 0.850993,0.871170,0.162336,0.121772,0.116913
5050,0.992515, 0.089915, 0.008363, 0.008145,0.009125, 0.987052, 0.987691, 0.453739,0.883505,0.209461,0.097494,0.127023
5100,0.987800, 0.065505, 0.018979, 0.007432,0.535787, 0.853248, 0.986010, 0.941977,0.896713,0.210392,0.094218,0.128392
5150,0.992555, 0.045373, 0.007318, 0.013759,0.466091, 0.824011, 0.122420, 0.987443,0.913208,0.186104,0.095671,0.111644
5200,0.991883, 0.007142, 0.019795, 0.009615,0.062163, 0.897894, 0.971545, 0.704901,0.916090,0.191569,0.127860,0.124084
5250,0.989788, 0.006880, 0.014684, 0.020459,0.719498, 0.976088, 0.872308, 0.883077,0.891246,0.167688,0.127288,0.146259
5300,0.991883, 0.007142, 0.019795, 0.009615,0.334860, 0.951649, 0.293612, 0.463380,0.900084,0.149225,0.113592,0.147236
5350,0.993015, 0.013470, 0.019200, 0.010474,0.124134, 0.989367, 0.839359, 0.866771,0.849224,0.200676,0.115993,0.087799
5400,0.991925, 0.045055, 0.007816, 0.021170,0.076110, 0.986341, 0.333223, 0.913892,0.902543,0.161102,0.091447,0.128580
5450,0.990660, 0.162403, 0.010229, 0.010636,0.432664, 0.869480, 0.946284, 0.963890,0.904510,0.181608,0.111244,0.107318
5500,0.986174, 0.144205, 0.011639, 0.013667,0.120025, 0.987305, 0.988272, 0.022129,0.876767,0.166936,0.133632,0.137335
5550,0.992515, 0.089915, 0.008363, 0.008145,0.151106, 0.970282, 0.193277, 0.811610,0.876316,0.174265,0.109985,0.132148
5600,0.991925, 0.045055, 0.007816, 0.021170,0.037595, 0.972490, 0.827077, 0.906652,0.876154,0.171960,0.098265,0.129949
5650,0.990344, 0.045042, 0.016652, 0.032518,0.083163, 0.974672, 0.832977, 0.975397,0.894794,0.181483,0.122643,0.102064
5700,0.991053, 0.078579, 0.034362, 0.010388,0.769320, 0.941628, 0.946316, 0.969704,0.923456,0.185363,0.118251,0.122442
5750,0.987800, 0.065505, 0.018979, 0.007432,0.009191, 0.988709, 0.324302, 0.271870,0.903585,0.198607,0.113524,0.109547
5800,0.991925, 0.045055, 0.007816, 0.021170,0.009324, 0.971748, 0.013693, 0.928259,0.931275,0.177374,0.123492,0.090605
5850,0.992555, 0.045373, 0.007318, 0.013759,0.596717, 0.985660, 0.762846, 0.971685,0.893229,0.166017,0.129595,0.120814
5900,0.989788, 0.006880, 0.014684, 0.020459,0.215380, 0.987554, 0.910141, 0.798379,0.887564,0.182695,0.113473,0.147382
5950,0.991883, 0.007142, 0.019795, 0.009615,0.052199, 0.918476, 0.009299, 0.976171,0.863923,0.169054,0.128935,0.122765
6000,0.986174, 0.144205, 0.011639, 0.013667,0.027823, 0.968423, 0.521517, 0.992731,0.887891,0.186872,0.136164,0.122523
6050,0.991441, 0.032851, 0.015617, 0.010696,0.065331, 0.988113, 0.609247, 0.890141,0.874884,0.161741,0.130274,0.144545
6100,0.992555, 0.045373, 0.007318, 0.013759,0.019169, 0.978797, 0.480550, 0.935136,0.899420,0.153712,0.099627,0.128849
6150,0.990660, 0.162403, 0.010229, 0.010636,0.568590, 0.990580, 0.404242, 0.895829,0.893775,0.167624,0.137940,0.153110
6200,0.984851, 0.053519, 0.016057, 0.009398,0.804864, 0.988531, 0.164918, 0.965816,0.912080,0.172675,0.060537,0.127790
6250,0.992515, 0.089915, 0.008363, 0.008145,0.608273, 0.978695, 0.979086, 0.448277,0.873101,0.190217,0.086554,0.140487
6300,0.992050, 0.083062, 0.007734, 0.009202,0.170100, 0.922598, 0.864475, 0.722062,0.877799,0.192479,0.121354,0.137477
6350,0.992166, 0.017954, 0.028670, 0.009145,0.463407, 0.977904, 0.045691, 0.810233,0.890855,0.179710,0.090930,0.092497
6400,0.988399, 0.014116, 0.008907, 0.007024,0.055380, 0.932730, 0.255204, 0.764691,0.907019,0.169853,0.117946,0.146368
6450,0.992515, 0.089915, 0.008363, 0.008145,0.015315, 0.932605, 0.574604, 0.904586,0.875853,0.167025,0.130999,0.133149
6500,0.993067, 0.057280, 0.017675, 0.008528,0.045244, 0.983347, 0.325944, 0.906532,0.865028,0.179407,0.119759,0.118992
6550,0.989443, 0.024055, 0.006994, 0.013567,0.382308, 0.990638, 0.892972, 0.943775,0.876318,0.170020,0.105458,0.157627
6600,0.992050, 0.083062, 0.007734, 0.009202,0.591990, 0.992661, 0.662319, 0.651871,0.898170,0.163859,0.121874,0.095961
6650,0.991383, 0.007822, 0.008106, 0.040427,0.083425, 0.968334, 0.848963, 0.982970,0.880804,0.169093,0.112585,0.088655
6700,0.991883, 0.007142, 0.019795, 0.009615,0.113871, 0.991921, 0.985027, 0.986761,0.907719,0.171545,0.099954,0.102531
6750,0.992129, 0.055087, 0.011423, 0.008667,0.040818, 0.983394, 0.987468, 0.987321,0.864719,0.184758,0.090696,0.103365
6800,0.989443, 0.024055, 0.006994, 0.013567,0.481389, 0.979183, 0.288783, 0.760443,0.908387,0.201383,0.126568,0.086873
6850,0.989788, 0.006880, 0.014684, 0.020459,0.029703, 0.989614, 0.838416, 0.938165,0.897245,0.199856,0.138643,0.129422
6900,0.993067, 0.057280, 0.017675, 0.008528,0.467850, 0.914267, 0.161069, 0.989118,0.869140,0.157517,0.109992,0.122250
6950,0.992515, 0.089915, 0.008363, 0.008145,0.212770, 0.993052, 0.935562, 0.781939,0.889373,0.187796,0.128926,0.106234
7000,0.986174, 0.144205, 0.011639, 0.013667,0.329714, 0.978993, 0.600650, 0.831569,0.899536,0.145110,0.073287,0.136295
7050,0.992515, 0.089915, 0.008363, 0.008145,0.313455, 0.993100, 0.966285, 0.982079,0.906185,0.179547,0.119254,0.130889
7100,0.991883, 0.007142, 0.019795, 0.009615,0.007936, 0.987705, 0.946445, 0.923511,0.872325,0.151012,0.120235,0.127568
7150,0.989443, 0.024055, 0.006994, 0.013567,0.148374, 0.956528, 0.931324, 0.759287,0.881556,0.168413,0.159393,0.121066
7200,0.989443, 0.024055, 0.006994, 0.013567,0.028314, 0.968362, 0.944178, 0.897095,0.872445,0.138622,0.099982,0.123296
7250,0.991883, 0.007142, 0.019795, 0.009615,0.268786, 0.961792, 0.435838, 0.777796,0.916017,0.166920,0.120960,0.112363
7300,0.988864, 0.161795, 0.031466, 0.007620,0.170718, 0.972728, 0.870515, 0.991056,0.878950,0.149844,0.122912,0.101731
7350,0.991264, 0.014910, 0.016705, 0.014856,0.617306, 0.978513, 0.977813, 0.980900,0.899933,0.170293,0.120916,0.122255
7400,0.993067, 0.057280, 0.017675, 0.008528,0.023809, 0.979525, 0.972282, 0.879111,0.910877,0.142246,0.110190,0.116148
7450,0.987803, 0.095267, 0.017619, 0.012539,0.354123, 0.984167, 0.884055, 0.992625,0.899242,0.153139,0.108715,0.098456
7500,0.989703, 0.058133, 0.012819, 0.011778,0.253071, 0.928174, 0.118534, 0.968001,0.879433,0.169449,0.125879,0.133913
7550,1.133907, 0.252780, 0.002000, 0.002000,0.081169, 0.985313, 0.006874, 0.908898,0.875069,0.152803,0.150467,0.122358
7600,0.992945, 0.041745, 0.044334, 0.008474,0.116464, 0.991340, 0.355063, 0.912459,0.885095,0.176975,0.135782,0.155813
7650,0.991441, 0.032851, 0.015617, 0.010696,0.637381, 0.905963, 0.716658, 0.988410,0.904930,0.174367,0.103217,0.111762
7700,0.992064, 0.066024, 0.014532, 0.022000,0.322576, 0.978397, 0.863183, 0.929676,0.877165,0.186105,0.144216,0.126537
7750,0.989443, 0.024055, 0.006994, 0.013567,0.252991, 0.975153, 0.039667, 0.980080,0.883330,0.158314,0.131407,0.146577
7800,0.990180, 0.094110, 0.008225, 0.013308,0.013262, 0.975005, 0.780836, 0.901680,0.881672,0.185763,0.129490,0.070821
7850,0.989687, 0.105374, 0.040120, 0.007283,0.355781, 0.993256, 0.975725, 0.382927,0.854548,0.182902,0.137875,0.086798
7900,0.988399, 0.014116, 0.008907, 0.007024,0.290109, 0.983989, 0.989268, 0.508540,0.879364,0.161112,0.131651,0.103230
7950,1.228066, 0.081115, 0.002000, 0.019838,0.027756, 0.973878, 0.985652, 0.697336,0.891017,0.184577,0.134535,0.101718
8000,0.990865, 0.195636, 0.012818, 0.018743,0.008479, 0.954932, 0.986264, 0.840336,0.908163,0.144960,0.153067,0.118590
8050,0.992827, 0.011616, 0.011701, 0.035341,0.628773, 0.988777, 0.819861, 0.303150,0.860341,0.200599,0.116216,0.123713
8100,0.992166, 0.017954, 0.028670, 0.009145,0.027849, 0.962946, 0.736781, 0.878684,0.886979,0.169522,0.100326,0.092678
8150,0.987408, 0.141913, 0.007375, 0.007123,0.007339, 0.979146, 0.972532, 0.586969,0.909743,0.184448,0.160767,0.111885
8200,0.992050, 0.083062, 0.007734, 0.009202,0.033744, 0.989499, 0.964906, 0.560397,0.871311,0.174355,0.130335,0.091773
8250,0.991883, 0.007142, 0.019795, 0.009615,0.500105, 0.992896, 0.775251, 0.632706,0.883696,0.160035,0.130268,0.123262
8300,0.992382, 0.164280, 0.007199, 0.009725,0.007272, 0.951388, 0.575765, 0.987918,0.896374,0.151960,0.123048,0.105744
8350,0.985886, 0.006857, 0.010941, 0.008330,0.008400, 0.991999, 0.812952, 0.290368,0.906359,0.130221,0.097570,0.096019
8400,0.990191, 0.047739, 0.029851, 0.009612,0.017627, 0.983713, 0.989111, 0.531551,0.893982,0.147697,0.167305,0.135079
8450,0.991291, 0.027745, 0.012489, 0.018092,0.697660, 0.982207, 0.552769, 0.333435,0.888094,0.154777,0.127731,0.118098
8500,0.990660, 0.162403, 0.010229, 0.010636,0.016349, 0.984182, 0.975235, 0.807279,0.907357,0.188598,0.135507,0.097673
8550,0.991291, 0.027745, 0.012489, 0.018092,0.058344, 0.933326, 0.992982, 0.865762,0.915704,0.175088,0.110220,0.126942
8600,0.990428, 0.008953, 0.010163, 0.007521,0.045771, 0.990896, 0.989079, 0.949412,0.893744,0.187487,0.127962,0.123884
8650,0.991441, 0.032851, 0.015617, 0.010696,0.796096, 0.971267, 0.547504, 0.928665,0.918269,0.177875,0.097008,0.110474
